donor_id,block_id,dataset_id,dataset_cell_count
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_12$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_12$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_12,91819
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_13$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_13$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_13,92547
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_14$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_14$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_14,92185
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_15$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_15$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_15,92230
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_16$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_16$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_16,91422
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_17$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_17$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_17,93543
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_18$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_18$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_18,94374
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_19$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_19$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_19,95709
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_20$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_20$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_20,96340
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_21$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_21$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_21,95411
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_22$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_22$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_22,95639
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_23$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_23$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_23,84250
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_24$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_24$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_24,82404
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_25$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_25$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_25,83357
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_26$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_26$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_26,84058
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_27$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_27$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_27,85100
